948@1920,14@5,8248@2122,66@46,8736
957@1951,58@12,4904@2116,04@39,6122
966@1962,04@6,32275@2141,28@41,2658
975@1992,82@9,75775@2163,72@39,9124
984@2020,12@8,28882@2189,98@39,1763
993@2033,18@7,14738@2209,98@40,3115
1002@2049,38@5,42944@2223,58@39,2904
1012@2069,76@9,44231@2259,18@43,1495
1021@2076,52@5,79494@2262,66@41,5975
1030@2091,64@6,77843@2267,24@39,2786
1040@2112,14@9,36791@2290,04@40,1163
1050@2130,84@6,60467@2308,28@39,2798
1059@2143,98@7,752@2324,06@39,8898
1069@2156,78@5,32627@2354,78@43,1514
1079@2187,72@9,2451@2359,94@38,2084
1089@2204,44@7,08588@2442,64@51,5298
1099@2221,88@6,28221@2485,34@56,5455
1109@2237,28@6,29426@2514,04@59,1016
1120@2253,58@7,65472@2496,64@51,9231
1130@2274,98@6,24195@2538,72@55,8282
1140@2316,44@31,0767@2580,74@63,4788
1151@2341,96@31,6888@2617,4@65,5735
1162@2366,12@31,1036@2651,58@66,8863
1172@2380,98@30,9674@3364,38@205,466
1183@2420,08@41,1481@3422,56@210,163
1194@2436,56@31,6689@3444,16@208,609
1205@2505,14@54,6931@3489,14@207,769
1216@2506,3@42,1725@3510,5@207,95
1228@2545,12@51,1482@3550,84@209,284
1239@2766,24@82,3303@3569,26@181,11
1251@3374,08@10,8925@3614,96@49,3732
1262@3407,1@8,67874@3640,46@47,2534
1274@3438,4@11,109@3672,44@47,6773
1286@3463,94@9,83933@3705,7@48,6753
1298@3499,18@11,4025@3737,18@48,0831
1310@3524,76@10,8751@3760,06@47,2385
1322@3541,88@9,22173@3789,6@49,0506
1334@3573,82@8,88159@3809,34@46,4538
1346@3592,12@10,429@3845,3@49,8989
1359@3670,7@27,1082@3871,04@47,0269
1371@3651,4@9,94844@3900,14@48,5326
1384@3686,44@12,6197@3927,84@47,5871
1397@3714,06@8,3271@3977,04@50,4439
1410@3770,04@20,5882@4009,04@49,4918
1423@3795,54@15,6319@4040,88@48,5728
1436@3835,34@10,611@4089,12@48,5292
1449@3858,02@10,4633@4117,56@49,3343
1463@3889,5@10,1024@4151@49,3874
1476@3934,98@17,3264@4195,02@50,9007
1490@3972,48@7,88485@4235,8@48,8767
1504@4007,7@11,8519@4273,5@49,8918
1518@4035,1@9,65568@4305,4@49,9976
1532@4084,74@16,1131@4364,14@52,9851
1546@4102,56@12,5768@4380,12@51,4758
1560@4128,46@8,40644@4400,78@49,4725
1575@4176,3@13,1248@4453,92@51,1763
1589@4229,46@17,8076@4495,46@50,4335
1604@4255,36@9,4333@4544,9@51,9832
1619@4290,6@9,82597@4574,56@50,8603
1634@4319,7@9,87314@4722@71,0627
1649@4350,52@10,1314@4642,42@51,8285
1664@4391,26@11,2807@4762,24@65,289
1680@4420,78@9,23807@4762,16@59,6138
1695@4518,5@76,6951@4910,54@102,058
1711@4491,78@8,88351@4888,32@68,3667
1727@4525,18@8,59672@4925,32@68,6255
1743@4572,32@10,3945@5021,64@76,8079
1759@4613,12@9,20493@5009,6@67,4765
1775@4764,14@97,815@5107,02@113,488
1792@4751,08@68,4067@5205,22@102,147
1808@4970,1@135,812@5193,38@140,797
1825@4874,72@96,3927@5252,86@114,931
1842@5046,84@131,692@7594,5@439,915
1859@5019,7@114,555@7659@447,749
1876@5086,54@129,796@7710,5@447,609
1894@5120,64@116,273@7783@447,929
1911@5212,22@129@7882@450,703
1929@7567,5@17,3819@7949,5@63,9101
1947@7684@28,7423@8034@63,0237
1965@7747@21,9101@8107,5@61,538
1983@7824,5@21,0583@8205,5@64,0592
2001@7871,5@23,3395@8251,5@64,4432
2020@7954@20,3825@8310@59,6026
2038@8093@41,3451@8404@63,8933
2057@8108@18,1055@8492,5@62,6211
2076@8173@19,8416@8548@61,4867
2096@8262,5@19,7529@8632@60,3912
2115@8332@20,6576@8710@61,6815
2135@8393@21,791@8800,5@66,0587
2154@8446@15,8217@8860,5@65,1037
2174@8537,5@19,3657@8935@63,3169
2195@8592@18,7059@9026,5@68,1936
2215@8688@20,4526@9120@68,0517
2235@8765,5@18,7246@9203@68,0634
2256@8878@22,9506@9294,5@66,1167
2277@8945@19,2498@9436,5@75,3337
2298@9019,5@19,6423@9466@68,7281
2319@9087@19,6761@9521@66,6956
2341@9186,5@21,593@9623@67,3478
2363@9306@18,2346@9768@69,6339
2384@9352,5@18,5497@9807@68,3851
2406@9462@25,3328@9916@70,1792
2429@9553@23,0858@9983@65,8715
