320@41,58@2,44066
322@40,8@1,13115
325@40,62@0,312705
328@41,58@1,58516
332@501,58@1247,3
335@44,8@2,10897
338@45,38@1,35849
341@45,34@0,911349
344@45,5@0,190623
347@46,16@0,425146
350@46,58@0,932248
354@48,04@1,62599
357@52,62@2,19228
360@51,98@0,787013
364@52,4@1,73364
367@54,28@2,99686
370@74,1@48,0967
374@54,46@1,76752
377@54,02@0,050985
381@57,8@1,61033
384@55,12@2,67574
388@61,7@5,14694
391@62,54@3,60605
395@62,34@1,05449
399@63,14@2,51413
402@63,26@1,9094
406@64,72@1,26732
410@64,14@2,39818
414@68,28@2,04543
417@74,84@7,14608
421@72,42@1,81193
425@73,24@2,53962
429@73,2@0,136558
433@73,76@0,210136
437@75,94@2,61523
441@76,84@1,5465
445@82,06@2,75633
449@84,54@2,081
454@84,9@1,85872
458@85,28@0,841189
462@86,4@2,05551
466@87,3@2,34589
471@87,46@1,84795
475@90,24@2,57973
479@91,36@3,23457
484@101,7@0,696063
488@100,92@3,30353
493@103,4@0,156015
497@104@1,05579
502@102,26@0,355996
507@103,1@0,191021
511@104,34@0,814761
516@105,24@2,39877
521@881,54@1682,53
526@106,46@2,36355
531@113,14@8,37223
535@110,5@4,71952
540@110,64@2,9204
545@110,04@0,617661
550@112,38@2,75278
556@127,54@3,97076
561@128,5@5,01095
566@126,42@4,23058
571@125,78@0,297626
576@128,44@1,966
582@129,7@3,44682
587@134,9@7,88746
593@131,36@2,0905
598@132,3@1,78647
604@132,8@0,152246
609@134,78@1,24144
615@137,44@0,828673
621@139,28@3,19422
626@157,52@4,12746
632@161@1,82024
638@165,3@3,46512
644@167,7@5,11855
650@165,04@0,265793
656@167,38@0,164632
662@172,1@4,98888
668@171,66@4,24391
674@172,48@0,284308
681@176,94@10,4953
687@189,6@19,9671
693@190,18@10,7625
700@182,9@20,7391
706@1133,28@1713,34
713@208,76@19,3136
719@190,98@4,1867
726@209,28@2,9816
733@226,76@10,8412
739@250,3@35,8117
746@232,58@7,10324
753@230,94@2,1426
760@231,04@0,294511
767@243,48@32,0478
774@250,86@35,3441
781@234,6@8,67289
789@293,3@34,1496
796@244,84@12,488
803@256,26@33,6776
811@238,84@7,36981
818@235,88@2,50508
826@236@1,57154
834@240,82@2,89285
841@283,24@0,198448
849@288,12@4,03799
857@306,82@17,9281
865@312,92@12,2001
873@317,3@33,0589
881@302,48@6,58055
889@300,28@0,410876
897@304,34@0,355276
906@313,14@4,44193
914@317,24@5,57789
922@316,96@5,03566
931@317,96@4,58901
940@325,86@11,276
948@321,12@4,83845
957@329,96@4,31371
966@1154,42@1311,28
975@334,6@4,5744
984@390,3@6,22434
993@405,28@1,15561
1002@437,98@31,1867
1012@442,64@28,484
1021@428@0,306636
1030@428,08@0,329283
1040@441,18@9,0844
1050@445,12@9,44091
1059@448,6@10,5876
1069@447,08@6,28789
1079@450,48@2,19116
1089@452,32@0,232525
1099@526,68@69,6153
1109@476,32@7,16839
1120@479,72@5,49286
1130@481,62@6,38844
1140@481,7@6,35172
1151@490,44@6,79003
1162@491,52@0,458689
1172@527,1@33,8108
1183@489,36@0,453706
1194@565,04@69,0227
1205@637,3@4,7294
1216@647,64@3,76811
1228@648,3@0,656029
1239@651,3@0,7031
1251@663,24@0,744347
1262@671,46@2,66253
1274@680@3,24025
1286@689,28@2,85879
1298@703,04@12,3926
1310@702,64@0,627317
1322@1560,06@1159,65
1334@722,3@11,9775
1346@728,42@2,39244
1359@754,96@17,0708
1371@753@13,1035
1384@765,7@14,2002
1397@840,64@71,153
1410@822,22@59,9846
1423@869,98@79,4126
1436@811,98@15,5179
1449@816,64@11,9425
1463@825,22@13,4302
